filename,id,language,date,author,title,gender,person,length
"EN_1814_Austen,Jane_MansfieldPark_Novel.txt",177,English,1814,"Austen,Jane",MansfieldPark,female,third,159529
"EN_1814_Scott,Walter_Waverley_Novel.txt",178,English,1814,"Scott,Walter",Waverley,male,first,194960
"EN_1815_Peacock,ThomasLove_HeadlongHall_Novel.txt",179,English,1815,"Peacock,ThomasLove",HeadlongHall,male,third,27259
"EN_1817_Scott,Walter_RobRoy_Novel.txt",180,English,1817,"Scott,Walter",RobRoy,male,first,158858
"EN_1818_Peacock,ThomasLove_NightmareAbbey_Novel.txt",181,English,1818,"Peacock,ThomasLove",NightmareAbbey,male,first,26571
"EN_1818_Shelley,Mary_Frankenstein_Novel.txt",182,English,1818,"Shelley,Mary",Frankenstein,female,third,75567
"EN_1819_Shelley,Mary_Mathilda_Novel.txt",183,English,1819,"Shelley,Mary",Mathilda,female,first,38254
"EN_1820_Scott,Walter_Ivanhoe_Novel.txt",184,English,1820,"Scott,Walter",Ivanhoe,male,third,175069
"EN_1821_Galt,John_AnnalsoftheParish_Novel.txt",185,English,1821,"Galt,John",AnnalsoftheParish,male,first,65380
"EN_1821_Peacock,ThomasLove_MaidMarian_Novel.txt",186,English,1821,"Peacock,ThomasLove",MaidMarian,male,third,35740
"EN_1822_Hogg,James_ThreePerilsofMan_Novel.txt",187,English,1822,"Hogg,James",ThreePerilsofMan,male,third,211224
"EN_1823_Cooper,JamesFenimore_ThePioneers_Novel.txt",188,English,1823,"Cooper,JamesFenimore",ThePioneers,male,third,169930
"EN_1826_Cooper,JameFenimore_TheLastoftheMohicans_Novel.txt",189,English,1826,"Cooper,JameFenimore",TheLastoftheMohicans,male,third,146852
"EN_1826_Disraeli,Benjamin_VivianGrey_Novel.txt",190,English,1826,"Disraeli,Benjamin",VivianGrey,male,third,192086
"EN_1836_Child,Lydia_Philothea_Novel.txt",191,English,1836,"Child,Lydia",Philothea,female,third,72983
"EN_1837_Disraeli,Benjamin_Venetia_Novel.txt",192,English,1837,"Disraeli,Benjamin",Venetia,male,third,160505
"EN_1837_Trollope,FrancesMilton_TheVicarofWrexham_Novel.txt",193,English,1837,"Trollope,FrancesMilton",TheVicarofWrexham,female,third,168844
"EN_1838_Martineau,Harriet_Deerbrook_Novel.txt",194,English,1838,"Martineau,Harriet",Deerbrook,female,third,220822
"EN_1838_Poe,EdgarAllen_TheNarrativeofArthurGordonPym_Novel.txt",195,English,1838,"Poe,EdgarAllen",TheNarrativeofArthurGordonPym,male,first,99298
"EN_1843_Borrow,George_TheBibleinSpain_Novel.txt",196,English,1843,"Borrow,George",TheBibleinSpain,male,first,220404
"EN_1844_Yonge,Charlotte_Abbeychurch_Novel.txt",197,English,1844,"Yonge,Charlotte",Abbeychurch,female,third,72560
"EN_1847_Aguilar,Grace_HomeInfluence_Novel.txt",198,English,1847,"Aguilar,Grace",HomeInfluence,female,third,170373
"EN_1847_Bronte,Charlotte_JaneEyre_Novel.txt",199,English,1847,"Bronte,Charlotte",JaneEyre,female,first,184426
"EN_1847_Bronte,Emily_WutheringHeights_Novel.txt",200,English,1847,"Bronte,Emily",WutheringHeights,female,first,115860
"EN_1847_Thackeray,William_VanityFair_Novel.txt",201,English,1847,"Thackeray,William",VanityFair,male,third,301792
"EN_1848_Bronte,Ann_TheTenantofWildfellHall_Novel.txt",202,English,1848,"Bronte,Ann",TheTenantofWildfellHall,female,first,164436
